1atm,,10atm,,20atm,,60atm,,100atm,
X,Y,X,Y,X,Y,X,Y,X,Y
1.7699115044247833,0.26217228464419406,6.194690265486727,0.7490636704119851,13.716814159292042,1.2734082397003768,5.309734513274336,3.1835205992509366,1.7699115044247833,5.018726591760299
34.51327433628319,0.29962546816479474,23.451327433628308,0.7490636704119851,35.39823008849558,1.1985018726591754,20.796460176991147,3.1835205992509366,10.619469026548671,5.018726591760299
59.73451327433628,0.29962546816479474,41.59292035398231,0.7490636704119851,57.079646017699105,1.1985018726591754,36.725663716814154,3.1835205992509366,19.46902654867256,5.018726591760299
83.18584070796462,0.26217228464419406,53.09734513274336,0.7490636704119851,78.76106194690266,1.1985018726591754,52.65486725663716,3.1835205992509366,26.991150442477874,5.018726591760299
103.09734513274336,0.3370786516853954,71.23893805309734,0.7490636704119851,100,1.235955056179776,68.14159292035399,3.1835205992509366,35.39823008849558,5.018726591760299
125.6637168141593,0.3370786516853954,88.93805309734512,0.7865168539325857,121.68141592920355,1.3108614232209739,84.51327433628319,3.1835205992509366,103.53982300884957,5.018726591760299
171.23893805309734,0.37453183520599254,106.63716814159292,0.8239700374531829,143.36283185840708,1.4606741573033695,100,3.1835205992509366,115.48672566371681,5.018726591760299
189.38053097345127,0.3370786516853954,124.3362831858407,0.8988764044943842,164.1592920353982,1.7977528089887649,115.48672566371681,3.1835205992509366,132.3008849557522,5.018726591760299
205.30973451327432,0.3370786516853954,135.84070796460176,0.973782771535582,182.7433628318584,2.7340823970037462,131.4159292035398,3.1835205992509366,149.1150442477876,5.018726591760299
218.58407079646017,0.29962546816479474,148.23008849557522,1.086142322097377,192.47787610619466,4.344569288389515,146.90265486725664,3.1835205992509366,154.86725663716814,5.018726591760299
235.39823008849558,0.29962546816479474,159.73451327433628,1.2734082397003768,198.2300884955752,5.805243445692884,154.86725663716814,3.2584269662921344,161.06194690265488,5.056179775280899
256.63716814159295,0.29962546816479474,170.79646017699113,1.5730337078651715,199.5575221238938,5.50561797752809,162.83185840707964,3.3333333333333357,165.4867256637168,5.093632958801496
273.4513274336283,0.29962546816479474,180.97345132743362,1.9850187265917612,207.0796460176991,3.857677902621724,170.79646017699113,3.5205992509363284,170.35398230088495,5.131086142322097
288.9380530973451,0.29962546816479474,190.2654867256637,2.6217228464419478,225.6637168141593,2.958801498127343,177.87610619469027,3.857677902621724,173.4513274336283,5.205992509363295
,,195.13274336283186,2.9213483146067425,247.34513274336283,2.7340823970037462,183.62831858407077,4.344569288389515,176.10619469026548,5.280898876404496
,,200.00000000000003,2.9213483146067425,269.0265486725664,2.6966292134831455,187.16814159292036,4.943820224719101,178.76106194690266,5.430711610486892
,,203.53982300884954,2.6217228464419478,289.3805309734513,2.6966292134831455,189.8230088495575,5.580524344569289,181.4159292035398,5.580524344569289
,,208.8495575221239,2.322097378277153,,,191.5929203539823,6.217228464419474,183.62831858407077,5.805243445692884
,,213.71681415929206,2.1348314606741567,,,192.9203539823009,6.891385767790261,185.39823008849555,6.067415730337078
,,219.91150442477877,1.9850187265917612,,,193.80530973451326,7.5655430711610485,187.16814159292036,6.329588014981274
,,225.6637168141593,1.835205992509362,,,194.69026548672568,8.202247191011235,189.38053097345127,6.8164794007490634
,,237.61061946902655,1.722846441947567,,,195.13274336283186,8.876404494382022,191.1504424778761,7.490636704119849
,,249.5575221238938,1.6479400749063693,,,196.01769911504428,9.550561797752808,192.03539823008853,7.940074906367043
,,261.0619469026549,1.6104868913857686,,,196.4601769911504,10.224719101123595,192.9203539823009,8.389513108614233
,,273.0088495575221,1.5730337078651715,,,196.90265486725664,10.861423220973784,193.80530973451326,9.02621722846442
,,284.95575221238937,1.5355805243445673,,,197.34513274336283,11.535580524344569,194.24778761061944,9.363295880149813
,,,,,,197.787610619469,12.209737827715356,194.24778761061944,9.737827715355806
,,,,,,197.787610619469,12.846441947565543,194.24778761061944,10.262172284644196
,,,,,,198.2300884955752,13.483146067415731,195.13274336283186,10.786516853932584
,,,,,,198.67256637168143,13.895131086142323,195.13274336283186,11.310861423220974
,,,,,,199.1150442477876,13.483146067415731,195.57522123893804,12.097378277153558
,,,,,,199.5575221238938,12.846441947565543,196.01769911504428,12.99625468164794
,,,,,,200.00000000000003,12.209737827715356,196.90265486725664,13.932584269662922
,,,,,,200.44247787610615,11.535580524344569,197.34513274336283,14.307116104868914
,,,,,,200.8849557522124,10.861423220973784,197.34513274336283,14.719101123595507
,,,,,,202.21238938053094,10.224719101123595,197.34513274336283,15.318352059925093
,,,,,,203.53982300884954,9.550561797752808,197.787610619469,16.47940074906367
,,,,,,204.86725663716814,8.913857677902621,197.787610619469,16.741573033707866
,,,,,,206.63716814159292,8.277153558052435,197.787610619469,17.04119850187266
,,,,,,209.73451327433625,7.677902621722847,197.787610619469,17.340823970037455
,,,,,,216.81415929203538,7.378277153558052,197.787610619469,17.528089887640448
,,,,,,224.3362831858407,7.2659176029962556,197.787610619469,17.827715355805243
,,,,,,231.858407079646,7.2659176029962556,197.787610619469,18.164794007490638
,,,,,,246.4601769911504,7.2659176029962556,197.787610619469,18.61423220973783
,,,,,,261.94690265486724,7.228464419475655,198.67256637168143,18.95131086142322
,,,,,,269.91150442477874,7.228464419475655,199.5575221238938,18.61423220973783
,,,,,,278.3185840707964,7.228464419475655,199.5575221238938,18.164794007490638
,,,,,,289.3805309734513,7.228464419475655,199.5575221238938,17.827715355805243
,,,,,,,,199.5575221238938,17.528089887640448
,,,,,,,,200.00000000000003,17.340823970037455
,,,,,,,,200.00000000000003,17.04119850187266
,,,,,,,,200.44247787610615,16.741573033707866
,,,,,,,,200.44247787610615,16.47940074906367
,,,,,,,,200.8849557522124,15.842696629213483
,,,,,,,,201.32743362831857,15.318352059925093
,,,,,,,,202.21238938053094,14.719101123595507
,,,,,,,,203.09734513274336,14.307116104868914
,,,,,,,,203.53982300884954,13.895131086142323
,,,,,,,,204.4247787610619,13.333333333333332
,,,,,,,,205.30973451327432,12.958801498127341
,,,,,,,,206.63716814159292,12.54681647940075
,,,,,,,,207.5221238938053,12.247191011235955
,,,,,,,,207.96460176991152,12.059925093632959
,,,,,,,,208.8495575221239,11.98501872659176
,,,,,,,,210.1769911504425,11.910112359550562
,,,,,,,,211.50442477876103,11.872659176029963
,,,,,,,,212.83185840707964,11.835205992509362
,,,,,,,,214.60176991150442,11.835205992509362
,,,,,,,,216.3716814159292,11.835205992509362
,,,,,,,,218.141592920354,11.835205992509362
,,,,,,,,220.79646017699113,11.835205992509362
,,,,,,,,226.9911504424779,11.835205992509362
,,,,,,,,233.18584070796456,11.835205992509362
,,,,,,,,241.5929203539823,11.835205992509362
,,,,,,,,253.09734513274336,11.835205992509362
,,,,,,,,266.81415929203536,11.835205992509362
,,,,,,,,288.49557522123894,11.835205992509362
